"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"64960","1,5-Anhydrosorbitol","HMDB0002712","64960","16070","C07326","3775","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"460602","LysoPC(16:0)","HMDB0010382","460602","72998","C04230",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"469","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","NC(CCCC(=O)O)C(=O)O","1"
"80283","L-Alpha-aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@@H](C(=O)O)N","1"
"70","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"441","D(-)-beta-hydroxy butyric acid","HMDB0000357","441","20067","C01089","125","CC(O)CC(=O)O","1"
"68328","3-Oxoglutaric acid","HMDB0013701","68328",NA,NA,NA,"[H]OC(=O)C([H])([H])C(=O)C([H])([H])C(=O)O[H]","1"
"119","NA","NA","NA","NA","NA","NA","NA","0"
"1983","Acetaminophen","HMDB0001859","1983","46195","C06804","6353","CC(=O)NC1=CC=C(O)C=C1","1"
"643757","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"6083","Adenosine monophosphate","HMDB0000045","6083","16027","C00020","5111","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"60961","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"196","Adipic acid","HMDB0000448","196","30832","C06104","115","C(CCC(=O)O)CC(=O)O","1"
"5950","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"51","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"14985","Alpha-Tocopherol","HMDB0001893","14985","18145","C02477","6376","CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O","1"
"66308","D-Arabinose","HMDB0029942","66308","46983",NA,NA,"OC[C@@H](O)[C@@H](O)[C@H](O)C=O","1"
"827","NA","NA","NA","NA","NA","NA","NA","0"
"6322","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"6267","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"5960","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"243","Benzoic acid","HMDB0001870","243","30746","C00539","1297","OC(=O)C1=CC=CC=C1","1"
"239","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"10712","Cellobiose","HMDB0000055","10712","36217","C06422","3480","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"440950","NA","NA","NA","NA","NA","NA","NA","0"
"11025495","NA","NA","NA","NA","NA","NA","NA","0"
"311","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"9750","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"588","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"439258","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"5862","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"67678","L-Cystine","HMDB0000192","67678","16283","C00491","5207","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","1"
"445580","Docosahexaenoic acid","HMDB0002183","445580","28125","C06429","3457","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"3893","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(=O)O","1"
"446284","Eicosapentaenoic acid","HMDB0001999","446284","28364","C06428","6423","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"444899","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"5282768","Eicosenoic acid","HMDB0002231","5282768","32425","C16526","6563","CCCCCCCC/C=C\CCCCCCCCCC(=O)O","1"
"222285","Erythritol","HMDB0002994","222285","17113","C00503","140","OC[C@H](O)[C@H](O)CO","1"
"700","Ethanolamine","HMDB0000149","700","16000","C00189","3207","NCCO","1"
"10400369","Fructose 1-phosphate","HMDB0001076","10400369","139419","C01094","378","OC[C@H]1O[C@](O)(COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"69507","Fructose 6-phosphate","HMDB0000124","69507","15946","C00085","5159","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"439709","D-Fructose","HMDB0000660","439709","28645","C02336","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"444972","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"14986","Gamma-Tocopherol","HMDB0001492","14986","298402","C02483","6276","CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O","1"
